Date,Name,Year,Letterboxd URI,Rating
2018-12-21,Nymphomaniac: Vol. II,2013,https://boxd.it/7j9Y,1.5
2018-12-25,Nymphomaniac: Vol. I,2013,https://boxd.it/7DiG,2.5
2018-12-30,Moonrise Kingdom,2012,https://boxd.it/2Wng,4
2018-12-30,Mary Poppins Returns,2018,https://boxd.it/e4nU,2.5
2019-01-01,GoodFellas,1990,https://boxd.it/29FA,4.5
2019-01-01,Before Midnight,2013,https://boxd.it/4ive,5
2019-01-02,The House That Jack Built,2018,https://boxd.it/dWO4,3.5
2019-01-03,Sorry to Bother You,2018,https://boxd.it/f21E,3
2019-01-03,Vice,2018,https://boxd.it/fcFY,1
2019-01-03,The Ballad of Buster Scruggs,2018,https://boxd.it/jB2q,3.5
2019-01-04,Apostle,2018,https://boxd.it/f0so,3
2019-01-05,Mandy,2018,https://boxd.it/gtti,3
2019-01-05,Leave No Trace,2018,https://boxd.it/fMfM,4
2019-01-06,The Death of Stalin,2017,https://boxd.it/ea9Y,3.5
2019-01-06,The Rider,2017,https://boxd.it/gazw,4
2019-01-06,Blockers,2018,https://boxd.it/fxEW,3
2019-01-07,Grizzly Man,2005,https://boxd.it/2ag2,4.5
2019-01-10,Bird Box,2018,https://boxd.it/eh1i,2.5
2019-01-12,If Beale Street Could Talk,2018,https://boxd.it/gGhu,3.5
2019-01-20,Annihilation,2018,https://boxd.it/9yzm,4
2019-01-27,Instant Family,2018,https://boxd.it/hHpQ,2
2019-01-27,The Spy Who Dumped Me,2018,https://boxd.it/geEg,1
2019-01-27,The Breakfast Club,1985,https://boxd.it/27q4,3.5
2019-01-31,Green Book,2018,https://boxd.it/hErk,2.5
2019-01-31,The Witch,2015,https://boxd.it/9X0m,4.5
2019-02-02,Y Tu Mamá También,2001,https://boxd.it/28QM,5
2019-02-05,Velvet Buzzsaw,2019,https://boxd.it/gAy0,2
2019-02-07,Personal Shopper,2016,https://boxd.it/bkGM,4
2019-02-14,Nightcrawler,2014,https://boxd.it/780m,4
2019-02-14,High Flying Bird,2019,https://boxd.it/itka,4
2019-02-14,Nosferatu,1922,https://boxd.it/29TM,3
2019-02-25,Bohemian Rhapsody,2018,https://boxd.it/f1TK,2
2019-02-26,Don't Look Now,1973,https://boxd.it/29fC,4.5
2019-02-27,I Walked with a Zombie,1943,https://boxd.it/1stm,3.5
2019-02-28,Free Solo,2018,https://boxd.it/iEEq,4
2019-03-03,Poltergeist,1982,https://boxd.it/2a0o,1.5
2019-03-03,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4.5
2019-03-05,"4 Months, 3 Weeks and 2 Days",2007,https://boxd.it/27DW,4.5
2019-03-07,A Brighter Summer Day,1991,https://boxd.it/1Luy,4.5
2019-03-09,Zodiac,2007,https://boxd.it/27MO,4
