,Title,Rewatch,Watched Date
518,Fantastic Mr. Fox,Yes,2020-07-24
519,Captain America: The Winter Soldier,Yes,2020-07-25
520,Iron Man 2,Yes,2020-07-26
521,Iron Man 3,Yes,2020-07-26
522,The Lego Movie,,2020-07-26
523,Funny Games,,2020-07-26
524,Avengers: Age of Ultron,Yes,2020-07-27
525,Captain America: Civil War,Yes,2020-07-28
526,Vertigo,Yes,2020-07-29
527,Snow White and the Seven Dwarfs,Yes,2020-07-30
528,Meek's Cutoff,,2020-07-31
529,Bambi,Yes,2020-08-01
530,GoodFellas,Yes,2020-08-01
531,Coco,,2020-08-02
532,Stalker,Yes,2020-08-02
533,Inside Out,Yes,2020-08-03
534,Jerry Maguire,Yes,2020-08-03
535,Dead Poets Society,Yes,2020-08-04
536,Wings of Desire,,2020-08-05
537,Spider-Man: Into the Spider-Verse,Yes,2020-08-09
538,Mirror,,2020-08-11
539,Notting Hill,Yes,2020-08-11
540,Rashomon,,2020-08-13
541,Ritual in Transfigured Time,,2020-08-19
542,At Land,Yes,2020-08-19
543,Meshes of the Afternoon,Yes,2020-08-19
544,Hunt for the Wilderpeople,Yes,2020-08-23
545,Harlan County U.S.A.,,2020-08-23
546,Ella Enchanted,,2020-08-24
547,Daisies,,2020-08-25
548,Being John Malkovich,,2020-08-27
549,Miss Congeniality,,2020-08-29
550,Crawl,,2020-08-29
551,Lars and the Real Girl,Yes,2020-08-30
552,"Jeanne Dielman, 23, Quai du Commerce 1080 Bruxelles",,2020-08-30
553,RoboCop,,2020-08-31
554,Showgirls,,2020-09-02
555,Caddyshack,Yes,2020-09-03
556,Take Shelter,Yes,2020-09-05
557,I'm Thinking of Ending Things,,2020-09-06
558,Boys State,,2020-09-07
559,Minding the Gap,Yes,2020-09-10
560,Pather Panchali,,2020-09-15
561,The Vast of Night,,2020-09-16
562,Blow the Man Down,,2020-09-20
563,Bad Education,,2020-09-21
564,Shirley,,2020-09-22
565,The Way Back,,2020-09-23
566,Out of Sight,Yes,2020-09-26
567,The Bling Ring,,2020-09-26
568,Back to the Future,Yes,2020-09-27
569,The Invisible Man,,2020-09-28
570,Big Night,,2020-09-29
571,Cinema Paradiso,,2020-09-30
572,The Painter and the Thief,,2020-10-01
573,Dick Johnson Is Dead,,2020-10-02
574,Close Encounters of the Third Kind,Yes,2020-10-03
575,Bacurau,,2020-10-05
576,The Secret of Roan Inish,,2020-10-05
577,Peeping Tom,Yes,2020-10-06
578,Doctor Sleep,,2020-10-08
579,Who Framed Roger Rabbit,Yes,2020-10-08
580,The Usual Suspects,Yes,2020-10-09
581,The Shining,Yes,2020-10-10
582,Amadeus,Yes,2020-10-11
583,Bridesmaids,Yes,2020-10-12
584,Never Rarely Sometimes Always,,2020-10-12
585,Babyteeth,,2020-10-13
586,Greyhound,,2020-10-14
587,The Last House on the Left,,2020-10-15
588,Alien,Yes,2020-10-16
589,Ace Ventura: When Nature Calls,Yes,2020-10-17
590,Night of the Living Dead,Yes,2020-10-18
591,David Byrne's American Utopia,,2020-10-18
592,Spider-Man: Homecoming,Yes,2020-10-19
593,Ghostbusters,Yes,2020-10-20
594,World of Tomorrow Episode Two: The Burden of Other People's Thoughts,,2020-10-21
595,Relic,,2020-10-21
596,World of Tomorrow Episode Two: The Burden of Other People's Thoughts,Yes,2020-10-22
597,First Cow,,2020-10-23
598,Borat Subsequent Moviefilm,,2020-10-24
599,Fifty Shades of Grey,Yes,2020-10-25
600,Prometheus,Yes,2020-10-26
601,World of Tomorrow Episode Three: The Absent Destinations of David Prime,,2020-10-26
602,Time,,2020-10-26
603,Shithouse,,2020-10-27
604,Bad Hair,,2020-10-28
605,World of Tomorrow Episode Three: The Absent Destinations of David Prime,Yes,2020-10-28
606,Blade Runner,Yes,2020-10-29
607,The Dawn Wall,,2020-10-31
608,Halloween,Yes,2020-11-01
609,Host,,2020-11-02
610,Fifty Shades Darker,,2020-11-02
611,Alien³,,2020-11-04
612,Alien: Covenant,Yes,2020-11-05
613,Nausicaä of the Valley of the Wind,Yes,2020-11-06
614,Quantum of Solace,,2020-11-07
615,The Umbrellas of Cherbourg,Yes,2020-11-08
616,Moneyball,Yes,2020-11-09
617,Woman in the Dunes,,2020-11-09
618,All That Jazz,,2020-11-10
619,Possessor,,2020-11-11
620,Touch of Evil,,2020-11-11
621,Doctor Strange,Yes,2020-11-12
622,Eternal Sunshine of the Spotless Mind,Yes,2020-11-13
623,Predator,Yes,2020-11-14
624,The Other Guys,Yes,2020-11-15
625,Rebecca,,2020-11-15
626,Brave,,2020-11-16
627,The Cremator,,2020-11-16
628,Safety Not Guaranteed,,2020-11-16
629,The New World,,2020-11-17
630,PlayTime,,2020-11-18
631,Arrival,Yes,2020-11-19
632,Popstar: Never Stop Never Stopping,,2020-11-20
633,Se7en,Yes,2020-11-21
634,Indiana Jones and the Kingdom of the Crystal Skull,Yes,2020-11-22
635,Austin Powers: International Man of Mystery,,2020-11-23
636,In the Mood for Love,,2020-11-23
637,A Matter of Life and Death,Yes,2020-11-24
638,The Graduate,Yes,2020-11-25
639,"Planes, Trains and Automobiles",Yes,2020-11-26
640,Lovers Rock,,2020-11-27
641,Once,Yes,2020-11-28
642,Harakiri,,2020-11-29
643,About Time,,2020-11-29
644,Emma.,,2020-11-30
645,A.I. Artificial Intelligence,,2020-11-30
646,Paterson,Yes,2020-12-01
647,Underwater,,2020-12-02
648,Sound of Metal,,2020-12-03
649,Butch Cassidy and the Sundance Kid,Yes,2020-12-05
650,Mangrove,,2020-12-06
651,"Red, White and Blue",,2020-12-06
652,Hot Fuzz,Yes,2020-12-06
653,Palm Springs,Yes,2020-12-06
654,His House,,2020-12-08
655,The Nest,,2020-12-08
656,Nomadland,,2020-12-09
657,She Dies Tomorrow,,2020-12-10
658,Beanpole,,2020-12-12
659,Wolfwalkers,,2020-12-13
660,I'm Your Woman,,2020-12-14
661,Alex Wheatle,,2020-12-14
662,"Yes, God, Yes",,2020-12-14
663,Minari,,2020-12-16
664,Citizen Kane,Yes,2020-12-17
665,Lovers Rock,Yes,2020-12-17
666,Ma Rainey's Black Bottom,,2020-12-19
667,The Trial of the Chicago 7,,2020-12-21
668,Mank,,2020-12-22
669,Education,,2020-12-23
670,Burrow,,2020-12-26
671,Purl,,2020-12-26
672,Kitbull,,2020-12-26
673,Bao,Yes,2020-12-26
674,Float,,2020-12-26
675,The Present,Yes,2020-12-26
676,Soul,,2020-12-26
677,Wonder Woman 1984,,2020-12-28
678,Meet Me in St. Louis,Yes,2020-12-29
679,Another Round,,2020-12-30
680,Dan in Real Life,Yes,2020-12-31
681,Toy Story 2,Yes,2021-01-01
682,The Lord of the Rings: The Fellowship of the Ring,Yes,2021-01-01
